"OBJECT_ID","OWNER","REPOS","HEALTH_SCORE","HEALTH_SCORE_BY_AVERAGING","FORK_RATIO","STAR_RATIO","COMMITS_PER_DAY_RATIO","COMMITS_PER_DAY_PER_PERSON_RATIO","PR_OPEN_TIME_RATIO","PR_MERGE_TIME_RATIO","ISS_OPEN_TIME_RATIO","ISS_CLOSE_TIME_RATIO"
74791366,"ryanmcdermott","clean-code-javascript",0,0.0809,0.088513349724694,0.077403941211362,0.002961246629942,0.013732457167031,0.11167861463852,0.016930918585669,0.298669233950052,0.140624547705367
1663468,"mozilla","pdf.js",0,0.0806,0.222564670845309,0.08906939959138,0.058709929068974,0.225868998096312,0.117036131260148,0.00684867504551,0.009323747475192,0.004024789225392
70107786,"zeit","next.js",0,0.0805,0.159746511064169,0.126293415936203,0.193639771314082,0.100578156948459,0.112848280345068,0.031773686083339,0.005422115458227,0.00423408218568
23736449,"VincentGarreau","particles.js",0,0.0779,0.113654465491568,0.063748105186845,0,0.058755785094832,0.30639546857518,0.086172177281055,0.551241511932594,0.048011203936354
11167738,"gulpjs","gulp",0,0.0771,0.152508917131281,0.10305147301127,0.009269988553707,0.026475357822746,0.199768960809975,0.012559965064501,0.037656799250939,0.040180915892916
23974149,"Dogfalo","materialize",0,0.0766,0.165875956643696,0.118602122190734,0.006051242502078,0.102799125713883,0.278299395460628,0.010741434202892,0.088313007194708,0.011232491154056
2541284,"cheeriojs","cheerio",0,0.0754,0.043806489593794,0.065056350095565,0.001287498420651,0.028055889092576,0.328346232888452,0.119432656926603,0.149301835023488,0.073339638041449
734934,"pugjs","pug",0,0.0745,0.065727049208713,0.060452777960852,0.002188747333853,0.064346488754142,0.803598734661322,0.07510007676278,0.131780063109001,0.096634865854844
3955647,"lodash","lodash",0,0.0714,0.142951137583544,0.130989257233243,0.005664992900899,0.263378692801241,0.528667016115073,0.004003338257182,0.006388204643156,0.007849825538015
62607227,"yangshun","tech-interview-handbook",0,0.0712,0.136648543823804,0.094042048375404,0.003089996340785,0.010768333215822,0.048701191833336,0.037187778037491,0.063430877878196,0.016926135267288
30969188,"react-boilerplate","react-boilerplate",0,0.0704,0.157530214357447,0.075041191590325,0.014291232431739,0.03714078121695,0.143037068078293,0.029595572337875,0.01226991967987,0.019251685206921
931135,"Leaflet","Leaflet",0,0.0683,0.141946878138311,0.082679760100178,0.019312476309772,0.150461820489318,0.341272452750968,0.043352897533872,0.028581706622599,0.005180572516548
58836534,"algorithm-visualizer","algorithm-visualizer",0,0.0666,0.102884648682342,0.06645027351216,0.017252479061681,0.088504769794825,0.045047766224741,0.001023860720671,0.068468161731413,0.096128459222864
101394335,"ant-design","ant-design-pro",0,0.0664,0.151435398413963,0.064094114545574,0.118964845295079,0.059648875414228,0.071660473581535,0.045759398621055,0.004372658171044,0.004505189426465
69798748,"verekia","js-stack-from-scratch",0,0.0664,0.063337604321779,0.059332366704014,0,0.047353987167736,0.157141434158658,0.009109254560317,0.719139603498793,0.133922010895649
36633370,"Kickball","awesome-selfhosted",0,0.066,0.090729646431416,0.107124497462598,0.038624952619544,0.042339420432913,0.114701870524759,0.01210479685709,0.041907799420549,0.054221774870953
25136308,"github","fetch",0,0.0654,0.072375939328878,0.073202398998221,0.003476245848235,0.032735366283579,0.26428619487674,0.077752636427969,0.050192791454197,0.038296233765665
35866694,"RocketChat","Rocket.Chat",0,0.0637,0.17210929113135,0.076181374810519,0.179606017683455,0.376612846365367,0.059129525340355,0.003407067905474,0.013334547980735,0.003011779933059
1028340,"ajaxorg","ace",0,0.0635,0.151643176230218,0.065712120213537,0.02124372337837,0.188993865895791,0.955483490488079,0.015908396595021,0.051069400647604,0.020548282213163
103633984,"i0natan","nodebestpractices",0,0.0634,0.083630571042698,0.100701904699137,0.032444960875272,0.028657660579567,0.033093520587353,0.026100415996967,0.039296331665802,0.043317043157672
52631841,"gothinkster","realworld",0,0.0628,0.06527686394016,0.0918737230607,0.00901248913202,0.040645177324967,0.015236106086761,0.068510044357481,0.075011506899828,0.025409132452256
34302698,"serverless","serverless",0,0.0622,0.117325206912075,0.100665656099651,0.166602289858539,0.223048720298949,0.157593220872259,0.023814132865742,0.014637974801091,0.006840279413616
24560307,"babel","babel",0,0.0621,0.124077985940368,0.110574705068213,0.088193639565108,0.355143481632941,0.113845886312502,0.00959280384419,0.017813451562879,0.0042666882385
117372806,"yangshun","front-end-interview-handbook",0,0.0621,0.088201683000312,0.065593488433402,0.006952491883929,0.012427739547346,0.026110172113044,0.023937028281743,0.075140436358455,0.070549762227384
49970642,"yarnpkg","yarn",0,0.0585,0.076566125290023,0.118951426876689,0.025878717655223,0.060212930973701,0.03117499511408,0.031033903873294,0.036230530703559,0.007582573521912
63539055,"jaywcjlove","awesome-mac",0,0.0582,0.117463725456245,0.097581229816121,0.032058710336794,0.035747021081577,0.03325373637387,0.001616650374322,0.024483189635086,0.016201810426579
11551538,"koajs","koa",0,0.0578,0.083180385774146,0.087036182692941,0.006051242502078,0.027356694634422,0.332388309938063,0.012683395972511,0.027879467455869,0.04813385235548
62367558,"zeit","hyper",0,0.0544,0.08556983066108,0.099344229882027,0.0131324845655,0.03701614609039,0.12524870850697,0.022938067939478,0.045554785489718,0.009745942653729
5239185,"quilljs","quill",0,0.0539,0.060567233438377,0.076227509391683,0.014548731853426,0.166925192131425,0.333356892886517,0.068974851421049,0.060837649160597,0.009915703225327
